Губернатору	O
Подмосковья	B-GPE
прочат	O
скорую	O
отставку	O
Эксперты	O
считают	O
,	O
что	O
позиции	O
Бориса	B-PERSON
Громова	I-PERSON
пошатнулись	O
из-за	O
недавних	O
проблем	O
с	O
энергоснабжением	O
региона	O
.	O

По	O
мнению	O
директора	O
Международного	B-ORG
института	I-ORG
политической	I-ORG
экспертизы	I-ORG
Евгения	B-PERSON
Минченко	I-PERSON
,	O
в	O
этом	B-DATE
году	I-DATE
вероятность	O
досрочного	O
прекращения	O
полномочий	O
главы	O
Московской	B-GPE
области	I-GPE
Бориса	B-PERSON
Громова	I-PERSON
стала	O
достаточна	O
велика	O
.	O

К	O
таким	O
выводам	O
эксперт	O
пришёл	O
в	O
связи	O
с	O
предновогодними	O
проблемами	O
с	O
энергоснабжением	O
региона	O
.	O
«	O
Ключевым	O
был	O
момент	O
,	O
когда	O
Владимир	B-PERSON
Путин	I-PERSON
попенял	O
Громову	B-PERSON
на	O
то	O
,	O
что	O
,	O
если	O
не	O
можете	O
сделать	O
,	O
не	O
обещайте	O
.	O

Одним	O
из	O
главных	O
ресурсов	O
Громова	B-PERSON
была	O
возможность	O
апелляции	O
лично	O
к	O
Владимиру	B-PERSON
Путину	I-PERSON
,	O
с	O
которым	O
у	O
него	O
неплохие	O
личные	O
отношения	O
,	O
и	O
сейчас	O
это	O
ему	O
делать	O
будет	O
несколько	O
сложнее	O
»	O
,	O
—	O
цитирует	O
ИА	B-ORG
Regnum	I-ORG
Минченко	B-PERSON
.	O

Кроме	O
того	O
,	O
как	O
считает	O
эксперт	O
,	O
на	O
решение	O
о	O
досрочной	O
отставке	O
Громова	B-PERSON
может	O
повлиять	O
и	O
вызов	O
на	O
допрос	O
главы	O
Химок	B-GPE
Владимира	B-PERSON
Стрельченко	I-PERSON
.	O

Будучи	O
крупнейшим	O
в	O
мире	O
экспортером	O
нефти	O
,	O
Россия	B-GPE
планирует	O
отправлять	O
крупнейшему	O
потребителю	O
энергоносителей	O
—	O
Китаю	B-GPE
—	O
более	B-QUANTITY
300	I-QUANTITY
тысяч	I-QUANTITY
баррелей	I-QUANTITY
в	O
день	O
.	O

Сделка	O
способствует	O
укреплений	O
растущих	O
связей	O
между	O
странами	O
.	O

Председатель	O
КНР	B-GPE
Ху	B-PERSON
Цзиньтао	I-PERSON
и	O
российский	B-NORP
президент	O
Дмитрий	B-PERSON
Медведев	I-PERSON
символически	O
открыли	O
нефтепровод	O
в	O
конце	B-DATE
сентября	I-DATE
2010-го	I-DATE
,	O
и	O
до	O
конца	O
года	O
эксплуатация	O
проходила	O
в	O
испытательном	O
режиме	O
.	O

Новые	O
поставки	O
нефти	O
почти	O
вдвое	O
увеличат	O
объем	O
«	O
черного	O
золота	O
»	O
,	O
поставляемого	O
Россией	B-GPE
в	O
Китай	B-GPE
.	O

До	O
сих	O
пор	O
доставка	O
сырой	O
нефти	O
осуществлялись	O
по	O
железной	O
дороге	O
в	O
тихоокеанский	B-LOC
порт	I-LOC
Козьмино	I-LOC
.	O

Концерн	B-ORG
«	O
Майкрософт	B-ORG
»	O
представил	O
антимонопольной	B-ORG
комиссии	I-ORG
Европейского	I-ORG
союза	I-ORG
дополнительную	O
документацию	O
об	O
операционной	O
системе	O
Windows	O
.	O

Новая	O
документация	O
будет	O
перепроверена	O
экспертами	O
ЕС	B-ORG
.	O

Спор	O
между	O
чиновниками	O
ЕС	B-ORG
и	O
«	O
Майкрософт	B-ORG
»	O
продолжается	O
уже	O
несколько	B-DATE
лет	I-DATE
.	O

В	O
середине	B-DATE
июля	I-DATE
ЕС	B-ORG
наложил	O
на	O
«	O
Майкрософт	B-ORG
»	O
миллионные	O
штрафы	O
,	O
так	O
как	O
в	O
течение	O
двух	B-DATE
лет	I-DATE
«	O
Майкрософт	B-ORG
»	O
так	O
и	O
не	O
раскрыл	O
требуемые	O
коды	O
операционной	O
системы	O
Windows	O
.	O

Начиная	O
с	O
15	B-DATE
декабря	I-DATE
2005	I-DATE
года	I-DATE
был	O
наложен	O
штраф	O
,	O
согласно	O
которому	O
концерн	O
должен	O
выплачивать	O
1,5	B-MONEY
миллионов	I-MONEY
долларов	I-MONEY
ежедневно	B-DATE
.	O

Комиссия	B-ORG
ЕС	I-ORG
угрожала	O
,	O
с	O
начала	B-DATE
августа	I-DATE
поднять	O
штраф	O
до	O
3	B-MONEY
миллионов	I-MONEY
ежедневно	O
,	O
если	O
«	O
Майкрософт	B-ORG
»	O
и	O
дальше	O
будет	O
игнорировать	O
требование	O
антимонопольного	O
законодательства	O
.	O

Требования	O
ЕС	B-ORG
заключаются	O
в	O
том	O
,	O
чтобы	O
производители	O
программного	O
обеспечения	O
имели	O
достаточно	O
информации	O
о	O
Windows	O
,	O
чтобы	O
их	O
программы	O
могли	O
бы	O
без	O
проблем	O
работать	O
под	O
Windows	O
.	O
«	O
Майкрософт	B-ORG
»	O
возражает	O
против	O
таких	O
требований	O
,	O
под	O
предлогом	O
того	O
,	O
что	O
это	O
раскрывает	O
их	O
фирменные	O
секреты	O
.	O

Ещё	O
в	O
2004	B-DATE
году	I-DATE
ЕС	B-ORG
наложил	O
на	O
«	O
Майкрософт	B-ORG
»	O
штраф	O
в	O
размере	O
500	B-MONEY
миллионов	I-MONEY
долларов	I-MONEY
,	O
за	O
злоупотребление	O
своего	O
монопольного	O
положения	O
.	O

В	O
интервью	O
газете	B-ORG
«	O
Труд	B-ORG
»	O
академик	O
Роальд	B-PERSON
Зиннурович	I-PERSON
Сагдеев	I-PERSON
назвал	O
,	O
сенсацию	O
,	O
поднятую	O
вокруг	O
добычи	O
гелия-3	O
на	O
Луне	B-LOC
,	O
не	O
стоящей	O
и	O
выеденного	O
яйца	O
.	O

Академик	O
Сагдеев	B-PERSON
сказал	O
,	O
что	O
на	O
недавно	O
прошедших	O
30-х	O
Королёвских	O
чтениях	O
тон	O
задавали	O
сторонники	O
лунных	O
проектов	O
,	O
которые	O
доказывали	O
,	O
что	O
добыча	O
гелия-3	O
на	O
Луне	B-LOC
выгодная	O
и	O
перспективная	O
задача	O
.	O

Считается	O
,	O
что	O
термоядерные	O
реакторы	O
,	O
работающие	O
на	O
гелии-3	O
,	O
обеспечат	O
человечество	O
энергией	O
на	O
тысячелетия	B-DATE
.	O

Планы	O
создания	O
базы	O
на	O
Луне	B-LOC
к	O
2015	B-DATE
году	I-DATE
и	O
добыча	O
и	O
транспортировка	O
гелия-3	O
,	O
которые	O
были	O
представлены	O
на	O
чтениях	O
—	O
совершенно	O
нереальны	O
.	O

Да	O
и	O
гелий-3	O
понадобится	O
не	O
ранее	O
чем	O
через	O
80	B-DATE
—	I-DATE
100	I-DATE
лет	I-DATE
.	O

Академик	O
Сагдеев	B-PERSON
сказал	O
,	O
что	O
всё	O
еще	O
не	O
существуют	O
реакторы	O
,	O
работающие	O
на	O
дейтерии	O
и	O
тритии	O
.	O

Хотя	O
,	O
запасы	O
дейтерия	O
в	O
морской	O
воде	O
практически	O
неограничены	O
.	O

Для	O
создания	O
термоядерного	O
реактора	O
,	O
работающего	O
на	O
гелии-3	O
,	O
понадобится	O
ещё	O
около	B-DATE
100	I-DATE
лет	I-DATE
.	O
«	O
Словом	O
,	O
построение	O
гелиевого	O
реактора	O
—	O
задача	O
даже	O
не	O
XXI	B-DATE
,	O
а	O
XXII	B-DATE
века	O
»	O
—	O
говорит	O
Сагдеев	B-PERSON
.	O

Поэтому	O
планы	O
создания	O
базы	O
на	O
Луне	B-LOC
и	O
добыча	O
там	O
гелия-3	O
—	O
это	O
иллюзия	O
:	O
«	O
На	O
самом	O
деле	O
вся	O
эта	O
шумиха	O
,	O
связанная	O
с	O
предложением	O
добывать	O
гелий-3	O
на	O
Луне	B-LOC
,	O
не	O
стоит	O
и	O
выеденного	O
яйца	O
»	O
.	O

Слова	O
Сагдеева	B-PERSON
из	O
интервью	O
:	O
«	O
Когда	O
о	O
добыче	O
гелия-3	O
на	O
Луне	B-LOC
рассказывает	O
,	O
например	O
,	O
руководитель	O
РКК	B-ORG
„	O
Энергия	B-ORG
“	O
Николай	B-PERSON
Севастьянов	I-PERSON
,	O
я	O
внутренне	O
улыбаюсь	O
и	O
даже	O
где-то	O
сочувствую	O
такому	O
увлеченному	O
человеку	O
,	O
оказавшемуся	O
,	O
как	O
это	O
ни	O
удивительно	O
,	O
в	O
плену	O
иллюзий	O
»	O
.	O
30	B-DATE
июля	I-DATE
в	O
Москве	B-GPE
состоялось	O
заседание	O
российского	B-NORP
правительства	I-NORP
,	O
на	O
котором	O
рассматривался	O
вопрос	O
о	O
ценообразовании	O
на	O
лекарства	O
,	O
как	O
отечественного	O
производства	O
,	O
так	O
и	O
импортных	O
.	O

Признано	O
,	O
что	O
в	O
настоящее	O
время	O
существующие	O
оптовые	O
и	O
розничные	O
цены	O
на	O
большинство	O
медицинских	O
препаратов	O
не	O
соответствуют	O
реальному	O
ценообразованию	O
и	O
значительно	O
завышаются	O
,	O
что	O
может	O
привести	O
к	O
обострению	O
социальной	O
ситуации	O
в	O
России	B-GPE
.	O

Министр	O
финансов	O
РФ	B-GPE
Алексей	B-PERSON
Кудрин	I-PERSON
сообщил	O
,	O
что	O
правительство	O
одобрило	O
проект	O
постановления	O
о	O
государственном	O
регулировании	O
цен	O
на	O
лекарства	O
,	O
предусматривающего	O
введение	O
обязательной	O
госрегистрации	O
предельных	O
отпускных	O
цен	O
производителей	O
.	O

Выступивший	O
на	O
заседании	O
правительства	O
премьер-министр	O
РФ	B-GPE
Владимир	B-PERSON
Путин	I-PERSON
высказался	O
в	O
том	O
смысле	O
,	O
что	O
более	O
не	O
допустимо	O
терпеть	O
произвол	O
как	O
производителей	O
лекарств	O
,	O
так	O
и	O
посредников	O
.	O

Он	O
привёл	O
некоторые	O
статистические	O
цифры	O
.	O

Например	O
,	O
за	O
первое	B-DATE
полугодие	I-DATE
2009	I-DATE
года	I-DATE
цены	O
на	O
лекарства	O
выросли	O
в	O
среднем	O
по	O
Российской	B-GPE
федерации	I-GPE
на	O
18,3	B-PERCENT
%	I-PERCENT
,	O
что	O
значительно	O
превышает	O
темпы	O
роста	O
цен	O
на	O
другие	O
товары	O
и	O
услуги	O
.	O

Совершенно	O
непопустимым	O
является	O
тот	O
факт	O
,	O
что	O
цены	O
в	O
разных	O
регионах	O
России	B-GPE
могут	O
колебаться	O
в	O
2-3	B-CARDINAL
раза	O
.	O

Признано	O
целесообразным	O
усилить	O
государственное	O
регулирование	O
,	O
и	O
обязать	O
производителей	O
доказывать	O
обоснованность	O
пересмотра	O
цен	O
на	O
жизненно	O
важные	O
медикаменты	O
